b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;t1;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;h3;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;t1;b;b;b;t1;b;b_iw;b;b;h2;b;h2;b;b_iw;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;t1;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1
b;b;b;p;b;b;b;b;t1_iw;b;h1_c;b;t1_iw;b;b;b;b;b;b;b;b;b;b;e;b;b;b;b;b;t1
b;b;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1
