b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;t1;t1;t1;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;t1;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;s;t1;b;b;b;b;b;b;b;b_iw;b;h1;b;b;h1;b;b_iw;b;b;b;b;b;b
b;b;b;b;t1;b;b;t1;b;b;b;b;b;b;b;b;b;b;t1;t1;t1;t1;b;t1;b;b;b;b;b;b;b;b;t1;t1;t1;t1;t1;t1;b;b;b;b;b;b;p
b;b;b;b;t1;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b;b;b;b;c_h3;b;b;b;b;b;b;b;b;b;b;b;b;s_c;b;t1
b;b;b;b;t1;b;b;b;b;t1;b;b;b;b;b;b;b_iw;h2;b;b;b;b;b_iw;t1;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;s_c;b;t1;t1;b
b;b;b;b;t1;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;s;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;s_c;t1;t1;b;b;b
b;b;b;b;b;b;b;b;b;b;b;t1;t1;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;s;s;b;b;b;b;b;s_c;t1;b;b;b;b;b
b;b;b;b;b;b_iw;h1;b;b;e_iw;b;b;t1;t1;b;b;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;t1;t1;t1;t1;t1;t1;t1;t1;b;b;b;b;b;b
b;b;b;b;b;t1;t1;t1;t1;t1;b;b;t1;t1;t1;b;b;b;b;b;b;t1;t1;t1;t1;t1;t1;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
