b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;b;b;t1;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;b;b;t1;b;b;t1;b;b;b;t1;b;b_iw;b;b;h2;b;b_iw;b;b;b;b;b;b;t1
b;b;b;b;b;t1;b;b;t1;b;b;t1;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;t1
b;b;b;b;b;t1;p;b;t1;b;b;t1;b;t1;b;t1;b;b;b;b;b;c;b;b;b;b;b;b;b;t1
b;b;b;b;b;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1
