b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;t1;b;b;b;t1;b;b_iw;b;b;h2;b;b;b;b_iw;b;b;b;b;b;b;b;e
b;b;t1;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1
p;b;t1_iw;b;h1_c;b;t1_iw;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1
t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1
