b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b
b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b
b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;c;b;b;b;b;b;b;b;b;b;b;t1;b;b
b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;t1;b;b
b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;t1;b;b
b;b;b;b;b;t1;b;b;b;b;b;h3;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;t1;t1;t1;t1;t1;t1;b;b;b;t1;b;b
b;b;b;b;b;t1;b;b;t1;b;b;t1;b;b;b;h3;b;b;b;b;b;b;b;b;b;b;b;b;t1;b;b_iw;b;h2;b;b;b_iw;b;b;b;t1;b;b
b;b;b;b;b;t1;b;b;t1;b;b;t1;b;b;b;t1;b;b_iw;b;b;h2;b;b_iw;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;b;b;t1;b;b;t1;b;b;b;t1;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b
b;b;b;b;b;t1;p;b;t1_iw;h1;b;t1_iw;h1;b;b;t1_iw;b;b_iw;b;b;h1;c;b;h1;b;b_iw;h3;b;b;b;b;b;b;b;b;b;b;b;b;b;b;e
b;b;b;b;b;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;t1;b;b;b;b;b;b;b;b;b;b;t1;t1
